Pair,Colex_freq_group,Associativity,Familiarity,Concreteness
"('CLOAK', 'COAT')",1,0.059,516.5,58.0
"('GHOST', 'SOUL')",1,0.007,524.5,90.0
"('AFTERNOON', 'SUN')",1,0.0375,645.0,211.0
"('GO', 'RIDE')",1,0.007,597.0,87.0
"('DRESS', 'SKIRT')",1,0.22999999999999998,569.5,19.0
"('KING', 'QUEEN')",1,0.751,524.5,22.0
"('BITTER', 'SALT')",1,0.019,569.0,185.0
"('EGG', 'WHITE')",1,0.012,599.0,141.0
"('BIRD', 'DUCK')",1,0.0505,560.5,4.0
"('RAM', 'SHEEP')",1,0.036,487.5,81.0
"('AFTERNOON', 'NIGHT')",1,0.072,645.5,90.0
"('HE', 'SHE')",1,0.758,601.5,7.0
"('BED', 'SLEEP')",1,0.365,623.0,151.0
"('HOPE', 'WANT')",1,0.0275,583.5,41.0
"('SWIM', 'WATER')",1,0.178,595.5,134.0
"('BOAT', 'SEA')",0,0.0055,560.5,41.0
"('FISH', 'LOBSTER')",0,0.029,510.0,7.0
"('BRICK', 'WOOD')",0,0.0125,551.5,4.0
"('SHIRT', 'TIE')",0,0.0885,585.5,48.0
"('EARN', 'HAVE')",0,0.0055,577.0,98.0
"('GREEN', 'VALLEY')",0,0.017,549.0,115.0
"('BAY', 'OCEAN')",0,0.03,500.0,13.0
"('GROW', 'LIVE')",0,0.0055,585.0,27.0
"('EAT', 'FRUIT')",0,0.0135,559.5,126.0
"('JUST', 'NOW')",0,0.0065,572.5,52.0
"('ANSWER', 'CALL')",0,0.0385,602.0,8.0
"('COLD', 'WATER')",0,0.019,633.5,159.0
"('GOOD', 'WELL')",0,0.1195,585.5,170.0
"('BLANKET', 'COVER')",0,0.14500000000000002,580.0,120.0
"('MUD', 'SAND')",0,0.018,519.0,11.0
"('BACK', 'NECK')",0,0.007,581.5,47.0
"('COPPER', 'GOLD')",0,0.0475,520.5,29.0
"('COW', 'MILK')",0,0.37,558.5,49.0
"('SORE', 'ULCER')",0,0.02,483.5,56.0
"('BIRD', 'BLUE')",0,0.01,592.5,143.0
"('FENCE', 'JUMP')",0,0.012,538.5,148.0
"('EAR', 'NOSE')",0,0.08399999999999999,572.0,12.0
"('HEAD', 'POTATO')",0,0.0235,611.5,26.0
"('DANCE', 'MUSIC')",0,0.0675,574.5,10.0
"('JUMP', 'SHOUT')",0,0.0055,554.0,22.0
"('BE', 'FLOWER')",0,0.0065,589.5,359.0
"('CHILD', 'MAN')",0,0.015,604.0,37.0
"('MANY', 'SOME')",0,0.0965,588.5,10.0
"('MIRROR', 'WINDOW')",0,0.0065,607.0,4.0
"('CHAIR', 'LEG')",0,0.0065,603.0,20.0
"('DANGER', 'POISON')",0,0.0235,530.5,189.0
"('BITE', 'JAW')",0,0.0105,561.0,108.0
"('HEAD', 'PAIN')",0,0.0065,590.0,177.0
"('HAPPY', 'SMILE')",0,0.2205,607.5,159.0
"('BED', 'MATTRESS')",0,0.28500000000000003,580.0,5.0
"('AFTER', 'POST')",0,0.0335,580.5,291.0
"('FOOT', 'KICK')",0,0.0195,573.0,73.0
"('OCEAN', 'WATER')",0,0.12,583.5,23.0
"('MOON', 'WHITE')",0,0.012,587.5,109.0
"('BE', 'SEEM')",0,0.028,581.0,1.0
"('DEEP', 'SHALLOW')",0,0.353,541.0,70.0
"('JOIN', 'MARRY')",0,0.0055,550.5,70.0
"('BITE', 'BLOOD')",0,0.0055,582.0,104.0
"('HAND', 'LEG')",0,0.006,595.0,22.0
"('FOG', 'HAT')",0,0.005,563.0,45.0
"('POT', 'STOVE')",0,0.0395,551.0,7.0
"('CART', 'HORSE')",0,0.032,507.0,37.0
"('BOAT', 'FLOAT')",0,0.057,568.5,186.0
"('CAVE', 'HOUSE')",0,0.0065,563.0,16.0
"('LONG', 'TREE')",0,0.0055,596.0,223.0
"('FROG', 'GREEN')",0,0.048,545.0,159.0
"('DOG', 'WHISTLE')",0,0.008,551.5,31.0
"('FOUR', 'SQUARE')",0,0.0065,564.5,151.0
"('BREAST', 'CHICKEN')",0,0.126,549.5,34.0
"('BUTTON', 'NOSE')",0,0.0105,578.5,15.0
"('CHEEK', 'MOUTH')",0,0.013,552.5,3.0
"('ISLAND', 'SUN')",0,0.031,571.0,21.0
"('ENEMY', 'FIGHT')",0,0.02,542.0,21.0
"('JEWEL', 'NECKLACE')",0,0.005,527.5,39.0
"('ICE', 'PAIR')",0,0.0065,554.0,244.0
"('DRUM', 'EAR')",0,0.007,533.0,38.0
"('ANGER', 'FIGHT')",0,0.017,551.0,140.0
"('CURE', 'DISEASE')",0,0.0865,553.0,152.0
"('BIRD', 'CROW')",0,0.269,541.0,12.0
"('HOOK', 'WORM')",0,0.0095,497.5,86.0
"('LAND', 'PLOT')",0,0.018,544.5,225.0
"('LEAF', 'VINE')",0,0.0065,483.5,8.0
"('SELF', 'TRUE')",0,0.007,604.5,190.0
"('GROW', 'LIFE')",0,0.0055,580.0,48.0
"('STRAIN', 'WEAR')",0,0.0065,534.5,22.0
"('DO', 'THINK')",0,0.0055,610.5,70.0
"('BONE', 'DOG')",0,0.1275,569.5,22.0
"('COAT', 'COLD')",0,0.0575,618.0,144.0
"('SEA', 'WAVE')",0,0.007,527.5,104.0
"('BONE', 'KNEE')",0,0.012,570.0,5.0
"('MOUTH', 'OPEN')",0,0.019,576.5,187.0
"('CLOTHES', 'WASH')",0,0.061,642.0,153.0
"('PART', 'SPLIT')",0,0.01,546.5,78.0
"('POOR', 'WEAK')",0,0.007,555.0,40.0
"('DANCE', 'SIT')",0,0.007,565.5,65.0
"('TEACH', 'TEACHER')",0,0.0315,575.5,216.0
"('BODY', 'PART')",0,0.01,594.5,229.0
"('GOAT', 'WHITE')",0,0.007,529.5,164.0
"('BELT', 'ROPE')",0,0.008,544.5,6.0
"('COVER', 'SHIELD')",0,0.03,530.5,74.0
"('BOOK', 'MONEY')",0,0.012,637.0,35.0
"('FIGHT', 'WAR')",0,0.0995,571.5,22.0
"('LETTER', 'WRITE')",0,0.138,585.0,131.0
"('GO', 'RETREAT')",0,0.014,548.5,30.0
"('CANOE', 'WATER')",0,0.059,541.0,7.0
"('COLD', 'WOOL')",0,0.011,583.0,151.0
"('FIRE', 'FOREST')",0,0.0225,546.5,14.0
"('GOD', 'LOVE')",0,0.0305,593.0,54.0
"('JUMP', 'LONG')",0,0.0085,565.0,68.0
"('CHEESE', 'MOUSE')",0,0.124,554.0,0.0
"('EARN', 'MONEY')",0,0.231,594.0,225.0
"('ANIMAL', 'DOG')",0,0.1595,609.0,23.0
"('GRASS', 'SEED')",0,0.017,550.5,12.0
"('WASH', 'WEAR')",0,0.014,584.0,87.0
"('BUSH', 'THORN')",0,0.0175,493.0,1.0
"('DOWN', 'SOUTH')",0,0.007,543.0,8.0
"('BRAIN', 'IDEA')",0,0.0075,582.5,297.0
"('FLOWER', 'SEED')",0,0.065,540.0,27.0
"('SCREWDRIVER', 'TOOL')",0,0.1065,538.0,4.0
"('CHEEK', 'RED')",0,0.023,570.0,64.0
"('HEAT', 'SUMMER')",0,0.0305,596.0,33.0
"('CALM', 'REST')",0,0.005,568.5,9.0
"('LINE', 'NUMBER')",0,0.01,595.0,82.0
"('KNEE', 'LEG')",0,0.1895,594.0,33.0
"('STONE', 'THROW')",0,0.015,556.0,214.0
"('WHO', 'WHY')",0,0.038,594.0,33.0
"('EAR', 'LISTEN')",0,0.051000000000000004,551.5,232.0
"('PICK', 'SCRATCH')",0,0.007,538.5,21.0
"('SMALL', 'WEAK')",0,0.007,589.0,51.0
"('ORDER', 'TELL')",0,0.011,583.0,38.0
"('CLOTH', 'SOFT')",0,0.015,575.5,166.0
"('ARROW', 'POISON')",0,0.007,497.0,68.0
"('GREEN', 'MONEY')",0,0.039,607.0,114.0
"('ANIMAL', 'PIG')",0,0.0195,564.5,27.0
"('COLLAR', 'RING')",0,0.008,549.0,29.0
"('TOOTH', 'WHITE')",0,0.018,584.0,147.0
"('HOT', 'SOUP')",0,0.0365,591.5,108.0
"('BRIGHT', 'SUN')",0,0.0905,612.0,144.0
"('FIND', 'RESCUE')",0,0.007,556.0,22.0
"('MONTH', 'YEAR')",0,0.29800000000000004,599.5,19.0
"('ELBOW', 'SHOULDER')",0,0.0075,558.5,18.0
"('CORNER', 'SIDE')",0,0.007,561.0,139.0
"('MURDER', 'SHOOT')",0,0.006,532.0,0.0
"('CUP', 'SPOON')",0,0.0095,603.5,75.0
"('LAND', 'MOUNTAIN')",0,0.01,574.0,12.0
"('SHRUB', 'TREE')",0,0.121,529.5,16.0
"('BASKET', 'FLOWER')",0,0.0245,525.5,22.0
"('GUARD', 'WATCH')",0,0.0635,540.0,30.0
"('ANGER', 'PAIN')",0,0.0085,555.0,111.0
"('MAN', 'UNCLE')",0,0.035,590.0,38.0
"('PUT', 'TAKE')",0,0.039,547.0,45.0
"('MONEY', 'TAX')",0,0.205,577.0,129.0
"('FISH', 'RAW')",0,0.007,528.5,198.0
"('COUSIN', 'FAMILY')",0,0.0735,561.0,23.0
"('ROOM', 'STORE')",0,0.012,594.5,18.0
"('GOD', 'SOUL')",0,0.027,555.5,76.0
"('MACHINE', 'STEEL')",0,0.007,551.0,8.0
"('AUNT', 'NEPHEW')",0,0.0205,503.0,23.0
"('FLEE', 'GO')",0,0.008,552.0,63.0
"('SEASON', 'SUMMER')",0,0.1055,588.5,6.0
"('BROTHER', 'FAMILY')",0,0.013000000000000001,602.5,60.0
"('NOW', 'WHEN')",0,0.1085,607.0,90.0
"('CHAIR', 'ROOM')",0,0.008,622.0,40.0
"('BODY', 'BREAST')",0,0.007,582.5,12.0
"('DELIVER', 'GIVE')",0,0.0415,562.0,67.0
"('BODY', 'SHOULDER')",0,0.0125,581.5,21.0
"('SHORE', 'TIDE')",0,0.0065,517.5,58.0
"('CHAIN', 'NECK')",0,0.006,544.5,8.0
"('NIGHT', 'SLEEP')",0,0.0305,623.0,12.0
"('FOOD', 'HUNGER')",0,0.20149999999999998,581.5,187.0
"('SNOW', 'STORM')",0,0.006,585.0,91.0
"('CHILD', 'FLOWER')",0,0.006,575.5,3.0
"('BACK', 'BODY')",0,0.007,598.5,28.0
"('MEDICINE', 'WELL')",0,0.0055,548.5,50.0
"('DEEP', 'SEA')",0,0.03,539.5,196.0
"('NECK', 'NECKLACE')",0,0.08199999999999999,556.0,46.0
"('ANT', 'FOOD')",0,0.0085,545.0,7.0
"('DOG', 'PERSON')",0,0.007,609.0,48.0
"('DEER', 'HUNT')",0,0.076,516.0,215.0
"('QUIET', 'SLEEP')",0,0.0235,593.5,95.0
"('THIN', 'WIDE')",0,0.038,569.5,44.0
"('CHISEL', 'CHOP')",0,0.0075,478.0,42.0
"('GO', 'GREEN')",0,0.021,600.5,123.0
"('GIVE', 'STEAL')",0,0.0055,578.5,37.0
"('ASH', 'BURN')",0,0.0165,521.0,93.0
"('FRUIT', 'SWEET')",0,0.0165,580.0,149.0
"('BOIL', 'BURN')",0,0.007,540.5,23.0
"('LIFT', 'UP')",0,0.0915,581.5,61.0
"('AIR', 'LAND')",0,0.007,591.0,86.0
"('CLAY', 'WET')",0,0.0115,520.0,128.0
"('PERSON', 'SLAVE')",0,0.007,519.0,23.0
"('COLOR', 'SKIN')",0,0.0065,586.5,147.0
"('MOUNTAIN', 'TOP')",0,0.0205,572.5,181.0
"('DOOR', 'THROUGH')",0,0.0135,608.5,332.0
"('CALM', 'SEA')",0,0.0315,542.0,236.0
"('BOAT', 'RIVER')",0,0.0275,574.5,52.0
"('GROUND', 'SAND')",0,0.006,546.5,58.0
"('HOT', 'TOBACCO')",0,0.005,582.5,102.0
"('MAIL', 'POST')",0,0.0305,570.0,25.0
"('FROG', 'WATER')",0,0.0105,574.0,3.0
"('SUSPECT', 'THINK')",0,0.01,550.0,33.0
"('GROUND', 'LOW')",0,0.006,577.0,236.0
"('BIRD', 'NEST')",0,0.371,556.5,45.0
"('CHEEK', 'LIP')",0,0.013,550.5,25.0
"('OCEAN', 'WAVE')",0,0.179,522.0,101.0
"('FRIEND', 'LOVE')",0,0.0085,611.0,139.0
"('MAN', 'SPIDER')",0,0.028,574.5,11.0
"('BAY', 'SEA')",0,0.027,505.5,16.0
"('BAD', 'THIEF')",0,0.006,560.5,211.0
"('WIDOW', 'WOMAN')",0,0.061,554.0,33.0
"('LIP', 'TONGUE')",0,0.0355,549.5,44.0
"('GOLD', 'RICH')",0,0.023,562.5,199.0
"('GOOD', 'PRAISE')",0,0.0445,561.5,57.0
"('MARRIAGE', 'WEDDING')",0,0.078,533.0,111.0
"('NECK', 'SHOULDER')",0,0.039,564.5,2.0
"('KING', 'POWER')",0,0.005,539.0,234.0
"('MEASURE', 'WEIGHT')",0,0.01,566.5,96.0
"('LONG', 'THIN')",0,0.0055,574.5,11.0
"('DIE', 'HARD')",0,0.0055,582.0,67.0
"('BLACK', 'MAN')",0,0.007,613.0,148.0
"('DEER', 'FOREST')",0,0.028,511.0,22.0
"('FOOT', 'KNEE')",0,0.016,591.0,35.0
"('LOUD', 'PAIN')",0,0.009,573.0,13.0
"('CHEW', 'JAW')",0,0.0205,549.5,175.0
"('CUT', 'EDGE')",0,0.01,575.0,35.0
"('CORNER', 'POCKET')",0,0.007,573.0,45.0
"('DUSK', 'EVENING')",0,0.056499999999999995,552.0,16.0
"('FLOW', 'WATER')",0,0.1305,579.5,305.0
"('ANT', 'SPIDER')",0,0.0085,518.5,3.0
"('DRINK', 'TEA')",0,0.0335,600.0,60.0
"('GLOVE', 'HAND')",0,0.30000000000000004,588.0,3.0
"('RAT', 'SNAKE')",0,0.007,524.5,3.0
"('CHOOSE', 'GUESS')",0,0.008,559.5,61.0
"('DRINK', 'THIRSTY')",0,0.119,615.0,98.0
"('SNOW', 'WHITE')",0,0.174,602.5,146.0
"('ASH', 'SOOT')",0,0.0565,442.0,20.0
"('EAT', 'MOUTH')",0,0.019,550.5,82.0
"('REST', 'SLEEP')",0,0.319,600.0,133.0
"('BRAVE', 'PROUD')",0,0.007,557.0,44.0
"('COLD', 'RAW')",0,0.007,567.5,58.0
"('LEARN', 'LISTEN')",0,0.014,547.5,38.0
"('MIRROR', 'SEE')",0,0.0095,609.0,253.0
"('LIKE', 'SEEM')",0,0.053,579.5,60.0
"('BODY', 'CLOTHES')",0,0.01,631.0,32.0
"('BOTTLE', 'CAN')",0,0.0235,605.5,226.0
"('ARMY', 'FIGHT')",0,0.007,558.0,88.0
"('GUARD', 'NOSE')",0,0.007,544.0,111.0
"('PULL', 'TWIST')",0,0.0065,537.5,63.0
"('FOOT', 'HAND')",0,0.14,592.0,46.0
"('NECKLACE', 'RING')",0,0.014,562.5,40.0
"('FOAM', 'SOAP')",0,0.031,528.0,21.0
"('BOY', 'MALE')",0,0.0205,597.0,45.0
"('SWIM', 'WET')",0,0.0235,567.5,4.0
"('FEW', 'MANY')",0,0.445,596.0,33.0
"('SHORE', 'WATER')",0,0.0305,586.0,42.0
"('EAR', 'HEAD')",0,0.0385,585.5,37.0
"('LISTEN', 'QUIET')",0,0.011,560.0,19.0
"('BEAR', 'WOLF')",0,0.007,531.5,10.0
"('STEAL', 'TAKE')",0,0.2285,558.5,31.0
"('GUESS', 'THINK')",0,0.0395,598.5,99.0
"('EMBRACE', 'LOVE')",0,0.048,526.0,138.0
"('GRASS', 'HUT')",0,0.0115,536.5,10.0
"('HEAD', 'SHOULDER')",0,0.023,582.0,14.0
"('DOWN', 'UP')",0,0.713,577.0,61.0
"('CRUSH', 'DESTROY')",0,0.019,515.5,14.0
"('FACE', 'SCAR')",0,0.0405,570.5,47.0
"('FISH', 'WHALE')",0,0.109,524.0,13.0
"('MORE', 'SOME')",0,0.0215,595.0,2.0
"('FUR', 'SOFT')",0,0.0305,560.0,187.0
"('HOE', 'RAKE')",0,0.11049999999999999,482.5,60.0
"('BUTTER', 'YELLOW')",0,0.009,585.0,81.0
"('VINE', 'WINE')",0,0.057,490.5,20.0
"('ORNAMENT', 'THING')",0,0.007,523.5,265.0
"('FROG', 'LIZARD')",0,0.0305,495.0,31.0
"('DARK', 'FOG')",0,0.005,572.0,59.0
"('BAD', 'GOOD')",0,0.754,606.5,11.0
"('TABLE', 'WOOD')",0,0.006,586.5,2.0
"('FEEL', 'LOVE')",0,0.011,603.5,13.0
"('GIRL', 'SISTER')",0,0.0205,616.5,32.0
"('CRAB', 'SHRIMP')",0,0.027000000000000003,489.5,3.0
"('DUCK', 'SWIM')",0,0.007,539.5,124.0
"('OLD', 'UNCLE')",0,0.007,586.5,231.0
"('FEEL', 'FELT')",0,0.037,546.0,113.0
"('SUCCEED', 'WIN')",0,0.0445,586.5,60.0
"('MILK', 'WATER')",0,0.012,614.5,54.0
"('MILK', 'WHITE')",0,0.0305,589.0,198.0
"('BUTTON', 'RED')",0,0.007,590.0,112.0
"('NEW', 'STRANGER')",0,0.007,568.0,93.0
"('HUT', 'VILLAGE')",0,0.035500000000000004,505.0,13.0
"('KICK', 'THROW')",0,0.012,555.5,85.0
"('HAND', 'TOUCH')",0,0.018000000000000002,595.5,187.0
"('BOY', 'SOLDIER')",0,0.0065,561.5,31.0
"('PLATE', 'SPOON')",0,0.012,584.0,19.0
"('CLAY', 'DIRT')",0,0.019,513.0,42.0
"('CANOE', 'SWIM')",0,0.017,495.5,141.0
"('QUIET', 'SPEAK')",0,0.0085,588.5,30.0
"('BLOOD', 'SKIN')",0,0.0055,581.0,1.0
"('ANIMAL', 'CAT')",0,0.06,601.0,28.0
"('LAUGH', 'SING')",0,0.011,585.0,12.0
"('CHICKEN', 'DUCK')",0,0.01,536.5,8.0
"('FRIEND', 'GOOD')",0,0.014,612.0,153.0
"('FIGHT', 'PEACE')",0,0.01,566.0,146.0
"('AUTUMN', 'FALL')",0,0.28650000000000003,552.5,12.0
"('SCAR', 'SORE')",0,0.01,536.5,50.0
"('CIGARETTE', 'PIPE')",0,0.02,554.0,5.0
"('COLD', 'FALL')",0,0.01,599.0,48.0
"('BAD', 'PUNISHMENT')",0,0.0275,553.5,50.0
"('HEAVY', 'STRAIN')",0,0.007,557.0,75.0
"('PAPER', 'WRITE')",0,0.125,597.5,153.0
"('CHILD', 'GIRL')",0,0.01,615.0,26.0
"('CLOUD', 'SOFT')",0,0.0155,571.5,140.0
"('BLAME', 'WRONG')",0,0.0135,570.5,10.0
"('SILK', 'WOOL')",0,0.019,511.0,70.0
"('CONDEMN', 'HATE')",0,0.0085,526.0,21.0
"('BORDER', 'LINE')",0,0.103,540.0,33.0
"('SING', 'VOICE')",0,0.11599999999999999,586.0,64.0
"('LIVER', 'STOMACH')",0,0.0105,514.0,0.0
"('AFTERNOON', 'MORNING')",0,0.05450000000000001,630.0,109.0
"('BRAIN', 'MEMORY')",0,0.0315,576.5,272.0
"('BONE', 'JAW')",0,0.041,535.0,29.0
"('FAULT', 'NO')",0,0.01,573.0,3.0
"('BACK', 'CHEST')",0,0.007,565.0,40.0
"('ANT', 'SMALL')",0,0.025,563.5,202.0
"('PINE', 'WOOD')",0,0.0205,565.5,14.0
"('HOME', 'ROOM')",0,0.008,626.5,27.0
"('FAST', 'RIDE')",0,0.0105,588.0,120.0
"('HAWK', 'OWL')",0,0.007,490.5,9.0
"('SHIELD', 'SWORD')",0,0.0635,454.0,1.0
"('BEE', 'INSECT')",0,0.047,548.0,4.0
"('BRANCH', 'TREE')",0,0.2775,571.0,21.0
"('BAD', 'CURSE')",0,0.0305,538.0,55.0
"('BUY', 'MONEY')",0,0.074,603.0,204.0
"('ANKLE', 'LEG')",0,0.0665,566.0,18.0
"('HOPE', 'LOVE')",0,0.017,590.0,50.0
"('CARRY', 'CART')",0,0.0145,504.0,212.0
"('DENSE', 'HARD')",0,0.007,559.5,72.0
"('APPLE', 'TREE')",0,0.01,605.5,16.0
"('PULL', 'STRAIN')",0,0.013,549.0,22.0
"('FACE', 'LIP')",0,0.012,590.0,9.0
"('HEAVY', 'LIFT')",0,0.0515,568.0,48.0
"('HOLD', 'LIFT')",0,0.0055,575.5,45.0
"('CAR', 'TRAIN')",0,0.0345,591.0,30.0
"('BELT', 'TIE')",0,0.012,554.5,34.0
"('BONE', 'CHEEK')",0,0.0695,537.0,23.0
"('GOOD', 'LIKE')",0,0.0055,615.5,11.0
"('PAIN', 'THORN')",0,0.0315,511.5,160.0
"('FULL', 'MOON')",0,0.051,589.5,203.0
"('ANIMAL', 'HUNT')",0,0.0215,571.5,171.0
"('BONE', 'HARD')",0,0.0065,568.0,163.0
"('HORSE', 'OX')",0,0.007,462.0,20.0
"('OPEN', 'WIDE')",0,0.014,575.0,33.0
"('MELT', 'SOFT')",0,0.012,555.5,1.0
"('FIVE', 'THREE')",0,0.007,567.0,74.0
"('FIGHT', 'PLAY')",0,0.0065,573.5,13.0
"('BUD', 'GREEN')",0,0.007,524.0,89.0
"('EGG', 'NEST')",0,0.087,564.5,56.0
"('GOLD', 'JEWEL')",0,0.0735,534.5,18.0
"('OPEN', 'TWIST')",0,0.0065,545.5,42.0
"('HELL', 'HOT')",0,0.031,585.5,152.0
"('LIZARD', 'SNAKE')",0,0.086,492.0,33.0
"('BONE', 'STONE')",0,0.005,552.5,26.0
"('SHOUT', 'TWIST')",0,0.11750000000000001,533.5,48.0
"('BRUSH', 'PAINTING')",0,0.034,553.0,26.0
"('BLUE', 'LAKE')",0,0.0155,588.0,126.0
"('PINE', 'TREE')",0,0.328,585.0,12.0
"('PASS', 'SUCCEED')",0,0.007,563.0,81.0
"('FACE', 'PERSON')",0,0.0315,616.0,37.0
"('KISS', 'MOUTH')",0,0.047,582.0,4.0
"('LEFT', 'TURN')",0,0.0195,587.5,18.0
"('EAT', 'RIB')",0,0.007,532.5,113.0
"('REST', 'SIT')",0,0.0085,585.5,86.0
"('COME', 'HOME')",0,0.007,617.0,184.0
"('DEW', 'FROST')",0,0.007,486.5,30.0
"('PRAY', 'TEMPLE')",0,0.0115,489.0,193.0
"('FATHER', 'PRIEST')",0,0.0175,537.5,33.0
"('HAVE', 'TAKE')",0,0.022,576.0,81.0
"('BUILD', 'WOOD')",0,0.006,564.0,204.0
"('BLOOD', 'CUT')",0,0.098,576.0,183.0
"('SWALLOW', 'THROAT')",0,0.0635,539.5,31.0
"('HAY', 'WHEAT')",0,0.0275,498.0,29.0
"('FAR', 'NEAR')",0,0.519,584.5,35.0
"('CLOTH', 'COAT')",0,0.006,585.5,21.0
"('BLOOD', 'FIRST')",0,0.0055,580.5,302.0
"('CLOTHES', 'COTTON')",0,0.033,586.5,8.0
"('MUST', 'SEE')",0,0.0065,607.0,55.0
"('CLEAR', 'WINDOW')",0,0.018,598.5,250.0
"('FULL', 'STOMACH')",0,0.01,570.5,239.0
"('BASKET', 'FRUIT')",0,0.0475,537.5,6.0
"('DEW', 'WET')",0,0.0775,506.0,100.0
"('FIREPLACE', 'FLAME')",0,0.0065,540.0,10.0
"('CHEST', 'SMALL')",0,0.014,579.5,178.0
"('ARMY', 'WAR')",0,0.0205,568.5,66.0
"('EWE', 'GOAT')",0,0.037,405.0,98.0
"('OPEN', 'SPLIT')",0,0.0095,547.5,36.0
"('BURY', 'DIE')",0,0.0225,524.0,14.0
"('MOUTH', 'WIDE')",0,0.007,570.5,220.0
"('FISH', 'WATER')",0,0.079,594.5,19.0
"('BLACK', 'BLIND')",0,0.0055,567.0,27.0
"('KING', 'RULE')",0,0.007,528.0,273.0
"('DUST', 'WIND')",0,0.017,575.0,2.0
"('CANDY', 'SUGAR')",0,0.036500000000000005,583.5,18.0
"('ROAD', 'TOBACCO')",0,0.0075,581.0,26.0
"('FAMILY', 'SISTER')",0,0.014,597.5,50.0
"('BOUNDARY', 'LINE')",0,0.125,536.0,66.0
"('HIGH', 'HILL')",0,0.0065,598.5,217.0
"('COLOR', 'PAINTING')",0,0.024,554.5,148.0
"('HAPPY', 'JOY')",0,0.1995,583.0,55.0
"('GET', 'SEND')",0,0.014,566.5,34.0
"('DOWN', 'FALL')",0,0.0505,559.0,70.0
"('SALT', 'SUGAR')",0,0.0785,610.0,26.0
"('BRIGHT', 'DARK')",0,0.0355,593.5,24.0
"('BEAUTIFUL', 'JEWEL')",0,0.005,564.0,201.0
"('FIND', 'HUNT')",0,0.029,551.5,65.0
"('COVER', 'OPEN')",0,0.0065,589.0,121.0
"('ANIMAL', 'HORSE')",0,0.0475,590.0,26.0
"('BOOT', 'FOOT')",0,0.071,574.5,37.0
"('DEAD', 'KILL')",0,0.0085,565.0,43.0
"('ATTACK', 'RAPE')",0,0.0745,548.5,61.0
"('FLAME', 'MATCH')",0,0.028999999999999998,554.5,47.0
"('COLD', 'MILK')",0,0.009,607.0,213.0
"('ANT', 'BEE')",0,0.017,532.5,7.0
"('CRY', 'GRIEF')",0,0.0305,535.5,133.0
"('DRINK', 'FOOD')",0,0.025,603.5,48.0
"('THINK', 'TRY')",0,0.0055,624.0,86.0
"('BODY', 'FOREHEAD')",0,0.017,565.5,22.0
"('DEAD', 'MURDER')",0,0.006,554.5,16.0
"('COLD', 'STEEL')",0,0.007,589.5,129.0
"('GRASS', 'SNAKE')",0,0.024,544.0,22.0
"('MAN', 'WOMAN')",0,0.6275,623.0,38.0
"('OCEAN', 'TIDE')",0,0.0755,515.0,77.0
"('HERE', 'WHERE')",0,0.0565,603.5,29.0
"('DANGER', 'ENEMY')",0,0.0075,540.0,96.0
"('MOVE', 'THROW')",0,0.0055,560.0,10.0
"('MOON', 'SKY')",0,0.0195,596.0,39.0
"('OCEAN', 'SALT')",0,0.03,569.0,1.0
"('CAUSE', 'MAKE')",0,0.011,587.5,12.0
"('HAIR', 'HARE')",0,0.01,517.5,32.0
"('SLIP', 'TONGUE')",0,0.01,534.0,186.0
"('DRINK', 'POUR')",0,0.0195,586.5,193.0
"('HEAD', 'PILLOW')",0,0.012,606.5,10.0
"('FRIEND', 'GIRL')",0,0.053,624.0,157.0
"('AFTER', 'NOW')",0,0.0095,590.0,67.0
"('BORDER', 'NEAR')",0,0.009,535.5,107.0
"('FORBID', 'NO')",0,0.0665,555.0,30.0
"('DOG', 'HUNT')",0,0.018,560.5,194.0
"('DIE', 'OLD')",0,0.011,592.5,9.0
"('BLAME', 'SHAME')",0,0.014499999999999999,537.5,6.0
"('COW', 'HORSE')",0,0.076,544.5,8.0
"('BIRD', 'DOVE')",0,0.187,503.5,14.0
"('PAN', 'STOVE')",0,0.0205,545.5,5.0
"('LIGHTNING', 'SKY')",0,0.0105,536.0,17.0
"('LOVE', 'SONG')",0,0.01,611.0,203.0
"('HAPPY', 'LAUGH')",0,0.083,607.5,78.0
"('PILLOW', 'SOFT')",0,0.127,596.0,199.0
"('EMPTY', 'ZERO')",0,0.011,562.5,33.0
"('CHILD', 'MOTHER')",0,0.02,608.5,2.0
"('HARD', 'IRON')",0,0.0125,575.0,159.0
"('PUNISHMENT', 'WRONG')",0,0.0105,557.5,55.0
"('WIDOW', 'WIFE')",0,0.0135,535.0,15.0
"('CAN', 'CUP')",0,0.01,607.5,174.0
"('AIR', 'CLOUD')",0,0.034,580.5,36.0
"('ANKLE', 'BONE')",0,0.0175,542.0,20.0
"('BLANKET', 'SLEEP')",0,0.012,586.5,138.0
"('JUMP', 'SIT')",0,0.0085,566.0,12.0
"('FOREST', 'LAKE')",0,0.008,548.0,24.0
"('EAT', 'LOBSTER')",0,0.0065,500.5,104.0
"('PERSON', 'STRANGER')",0,0.0245,571.0,121.0
"('BASKET', 'CARRY')",0,0.007,519.5,242.0
"('BLANKET', 'WOOL')",0,0.007,551.5,14.0
"('PRISONER', 'WAR')",0,0.05,533.5,71.0
"('FOOL', 'STUPID')",0,0.073,550.5,3.0
"('EYE', 'NOSE')",0,0.0525,597.5,6.0
"('WATER', 'WELL')",0,0.1155,595.5,149.0
"('GROUND', 'HARD')",0,0.021,584.5,133.0
